mean_rp,rel_std_rp,k,Df,Np,agg_num,Rve,Rg,eps_agg,h5_file,h5_key
0.015,0.1,0.95,2.35,350,3,0.10735539500778127,0.1922045026074321,0.9190143958420113,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00350/3
0.015,0.1,0.95,2.35,400,3,0.11141484601951267,0.20196632475690296,0.9219776223045248,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00400/3
0.015,0.1,0.95,2.35,450,3,0.11609139798282626,0.2125175406579753,0.9242395310218405,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00450/3
0.015,0.1,0.95,2.35,500,3,0.12025756323344299,0.22225622302318168,0.9263789029195467,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00500/3
0.015,0.1,0.95,2.35,550,3,0.12390340377812123,0.230057707014289,0.9273950507136061,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00550/3
0.015,0.1,0.95,2.35,600,3,0.12729913290256828,0.23926511116317647,0.9300053116173977,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00600/3
0.015,0.1,0.95,2.35,650,3,0.1314965194108392,0.251761188668005,0.9337778453379009,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00650/3
0.015,0.1,0.95,2.35,700,3,0.13418517204802138,0.2580120129130031,0.9346236489879539,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00700/3
0.015,0.1,0.95,2.35,750,3,0.13791573078436936,0.2652972311440313,0.93470647154161,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00750/3
0.015,0.1,0.95,2.35,800,3,0.1405194639468834,0.2719391375211437,0.9358759149780863,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00800/3
0.015,0.1,0.95,2.35,850,3,0.14366523650724664,0.2811254599473125,0.9379729088120199,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00850/3
0.015,0.1,0.95,2.35,900,3,0.14613410892407344,0.2847655282443413,0.9371913561321277,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00900/3
0.015,0.1,0.95,2.35,950,3,0.1485109565057894,0.29016988194127236,0.9376917774858712,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/00950/3
0.015,0.1,0.95,2.35,1000,3,0.1515512044130239,0.2992001284796108,0.9396023939566138,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01000/3
0.015,0.1,0.95,2.35,1050,3,0.154796154073759,0.3079809356883039,0.9409886061953773,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01050/3
0.015,0.1,0.95,2.35,1100,3,0.15666498608033452,0.312069313789706,0.941198350238823,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01100/3
0.015,0.1,0.95,2.35,1150,3,0.1582433019595724,0.3148236776647567,0.9409797939517127,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01150/3
0.015,0.1,0.95,2.35,1200,3,0.16114759003570964,0.3253188893420026,0.9435101426742456,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01200/3
0.015,0.1,0.95,2.35,1250,3,0.1629416607472481,0.32779136476515386,0.9429138485291992,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01250/3
0.015,0.1,0.95,2.35,1300,3,0.16562487790253214,0.33325955671261753,0.9429499864332516,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01300/3
0.015,0.1,0.95,2.35,1350,3,0.1667531147452922,0.33858030512973614,0.9444781838469064,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01350/3
0.015,0.1,0.95,2.35,1400,3,0.16941367094482376,0.344380794760225,0.944670663413652,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01400/3
0.015,0.1,0.95,2.35,1450,3,0.1709606682083916,0.3485823047199304,0.9451723685942864,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01450/3
0.015,0.1,0.95,2.35,1500,3,0.1738173195285119,0.35682967056144554,0.946281590759374,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01500/3
0.015,0.1,0.95,2.35,1550,3,0.1753080322336622,0.36166352476532143,0.9470680140326948,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01550/3
0.015,0.1,0.95,2.35,1600,3,0.1768269169258572,0.36500160803616566,0.947156975497754,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01600/3
0.015,0.1,0.95,2.35,1650,3,0.17845074624237425,0.36877525121739196,0.9473380813038219,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01650/3
0.015,0.1,0.95,2.35,1700,3,0.18090340270266933,0.37567510010851723,0.9481044820859462,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01700/3
0.015,0.1,0.95,2.35,1750,3,0.1822221591866131,0.3779473240170666,0.9479121278397774,aggregates_20260323_00.h5,0.0150/0.10/0.950/2.35/01750/3
